tweet_id,topic,likes,retweets,replies,virality_score,temporal_decay,Engagement,Followers,Timestamp,user_activity,location,content,hashtags
tweet_1,big companies,6683,2174,2514,0.552373721,0.258107263,7394,772,10/8/2023 16:27,5,San Francisco,The championship finals are set for this weekend.,"#Sports, #Athletics"
tweet_2,shows,5459,4947,2004,0.192284938,0.305696802,15568,889468,4/14/2023 4:53,72,Berlin,New breakthroughs in cancer research bring hope.,"#Research, #MentalHealth"
tweet_3,shows,3599,2719,1767,0.396163937,0.220596697,5333,389393,9/8/2023 15:25,35,New York,Election campaigns are heating up ahead of the big day.,#Debate
tweet_4,influencer,4238,2830,1150,0.416113407,0.151455102,4366,992964,1/2/2023 4:19,65,Mumbai,Fans eagerly await the season finale of the hit series.,"#Celebrities, #BoxOffice, #SeriesFinale"
tweet_5,movies,1846,4503,2669,0.132136305,0.05268447,9679,902190,7/11/2023 10:00,68,San Francisco,Unemployment rates show signs of recovery.,#Trade
tweet_6,AI,6802,154,1436,0.253363572,0.898661662,3900,60909,11/2/2023 15:44,18,New York,New research methods revolutionize academic studies.,"#Scholarships, #Education, #Research"
tweet_7,influencer,4665,1294,1586,0.38767112,0.029445278,4382,547388,1/11/2023 23:14,71,Mumbai,An incredible comeback by the home team last night!,#Championship
tweet_8,internet,9657,3842,2396,0.50724708,0.389960403,11707,889330,10/2/2023 7:14,22,Berlin,New research methods revolutionize academic studies.,"#Education, #Research, #Scholarships"
tweet_9,sports,7492,2326,2104,0.165233751,0.113943547,9201,830243,11/7/2023 14:39,35,Sydney,An incredible comeback by the home team last night!,"#TeamSpirit, #Athletics, #Championship"
tweet_10,politics,7395,3923,150,0.698597034,0.379833291,10479,127073,12/2/2023 3:46,43,Sydney,Election campaigns are heating up ahead of the big day.,"#Debate, #Elections, #Politics"
tweet_11,internet,4286,1499,1097,0.703974693,0.512509181,5689,205573,6/17/2023 2:47,62,New York,Tech conferences highlight innovations in AI and VR.,"#Future, #Innovation, #Tech"
tweet_12,internet,5271,2316,2149,0.140215922,0.657431641,10573,805822,9/15/2023 16:34,1,Dubai,Tips for maintaining mental health during stressful times.,"#MentalHealth, #Health, #Research"
tweet_13,big companies,5208,2022,339,0.559557426,0.693489438,5201,925634,11/9/2023 12:31,85,Dubai,Unemployment rates show signs of recovery.,"#Economy, #Trade, #StockMarket"
tweet_14,shows,4857,4893,1564,0.041658714,0.020893611,5982,550110,6/27/2023 13:18,59,San Francisco,The blockbuster movie breaks box office records!,"#Celebrities, #Movies"
tweet_15,economy,7282,664,966,0.829782283,0.875788649,10602,236635,12/30/2023 20:38,26,San Francisco,New research methods revolutionize academic studies.,"#Learning, #Education, #Research"
tweet_16,AI,3035,3803,975,0.905675537,0.682704019,4989,413742,2/21/2023 16:25,68,Tokyo,Scholarship opportunities expand access to higher education.,"#Scholarships, #Research"
tweet_17,jobs,2640,42,883,0.677434715,0.600896113,12715,991534,3/8/2023 16:01,45,New York,AI is revolutionizing industries worldwide.,#AI
tweet_18,influencer,2020,4402,307,0.145836923,0.653892761,4158,939979,3/17/2023 10:35,92,Sydney,Unemployment rates show signs of recovery.,"#Economy, #Trade"
tweet_19,influencer,7588,3505,772,0.52647045,0.762361374,2667,700158,8/2/2023 4:54,22,Mumbai,An incredible comeback by the home team last night!,#Sports
tweet_20,economy,5735,1817,563,0.106511859,0.300466386,5301,90612,10/25/2023 10:50,60,Dubai,The new policy is sparking debates across the nation.,#Elections
tweet_21,sports,4792,3010,1643,0.078804321,0.176768079,9975,481345,8/21/2023 16:08,79,Dubai,Government initiatives for renewable energy gain momentum.,"#Elections, #Debate, #PolicyChange"
tweet_22,influencer,6117,3229,1631,0.290197035,0.528513279,3973,33702,7/25/2023 0:21,83,New York,Stock markets experience major fluctuations today.,"#Economy, #Finance, #StockMarket"
tweet_23,economy,7758,704,1187,0.62289215,0.292470219,6383,611364,8/4/2023 5:24,40,Mumbai,The new policy is sparking debates across the nation.,"#Elections, #Politics, #PolicyChange"
tweet_24,movies,3047,2312,2400,0.744758461,0.187483377,5712,60545,1/11/2023 12:51,92,Tokyo,Fans eagerly await the season finale of the hit series.,"#BoxOffice, #SeriesFinale, #Celebrities"
tweet_25,shows,9363,1387,49,0.945368301,0.12671359,2938,907446,9/16/2023 19:22,65,Tokyo,Breaking records and making history in athletics.,#Athletics
tweet_26,influencer,1401,2776,1255,0.674183615,0.343755755,10908,896783,3/14/2023 8:52,24,Tokyo,Celebrity news: an iconic actor returns to the big screen.,"#BoxOffice, #Movies"
tweet_27,sports,266,1262,2031,0.276350363,0.434318936,3767,201739,11/11/2023 19:04,83,Dubai,AI is revolutionizing industries worldwide.,#AI
tweet_28,internet,8939,4453,2528,0.119174328,0.816248508,12431,825386,4/10/2023 4:06,91,Berlin,Health trends: the rise of plant-based diets.,#Health
tweet_29,influencer,9044,2293,2812,0.21089376,0.555674051,8156,910506,7/25/2023 2:13,32,New York,Tips for maintaining mental health during stressful times.,#Research
tweet_30,economy,5877,4110,1606,0.847713359,0.387642594,9634,456580,11/12/2023 4:45,22,Tokyo,Fans eagerly await the season finale of the hit series.,"#Movies, #SeriesFinale"
tweet_31,big companies,4836,4942,977,0.10220742,0.410052605,11838,854473,8/18/2023 18:00,50,London,Stock markets experience major fluctuations today.,"#StockMarket, #Trade"
tweet_32,economy,3003,813,528,0.058201569,0.747434143,9046,667598,5/21/2023 9:08,94,Dubai,AI is revolutionizing industries worldwide.,"#Innovation, #Future"
tweet_33,internet,1869,3349,2358,0.85993407,0.236312755,13763,806218,1/22/2023 1:47,62,Tokyo,Breaking records and making history in athletics.,"#Athletics, #Championship"
tweet_34,AI,5394,4601,868,0.67315495,0.987147887,6635,904094,10/25/2023 7:58,5,New York,Tech conferences highlight innovations in AI and VR.,#Future
tweet_35,influencer,6026,1877,2850,0.590362806,0.866427224,4822,351688,11/21/2023 3:47,87,Sydney,Stock markets experience major fluctuations today.,"#Finance, #StockMarket"
tweet_36,sports,9888,427,441,0.753187282,0.670369964,3896,38053,5/4/2023 11:05,44,San Francisco,The championship finals are set for this weekend.,#Championship
tweet_37,AI,5421,2429,2505,0.019597752,0.229257181,5263,444983,1/10/2023 0:21,100,Dubai,The new policy is sparking debates across the nation.,"#Debate, #Elections"
tweet_38,influencer,3771,3264,1527,0.873689848,0.548289521,6663,482381,11/5/2023 16:03,76,Sydney,New breakthroughs in cancer research bring hope.,"#MentalHealth, #Health"
tweet_39,movies,5551,239,1633,0.144681195,0.738611251,9266,350515,7/21/2023 21:43,51,New York,New breakthroughs in cancer research bring hope.,"#Health, #Research, #MentalHealth"
tweet_40,jobs,5049,2939,396,0.207147412,0.332231074,8328,909386,6/6/2023 7:51,30,New York,Unemployment rates show signs of recovery.,"#StockMarket, #Economy, #Finance"
tweet_41,jobs,5902,1644,2317,0.633077014,0.743997428,8170,36943,9/17/2023 4:39,46,London,Top destinations for 2024: where will you go?,"#Destinations, #Adventure, #Explore"
tweet_42,jobs,9602,423,1563,0.573489148,0.598464163,11431,104858,4/7/2023 21:19,51,Mumbai,An incredible comeback by the home team last night!,"#Sports, #TeamSpirit"
tweet_43,economy,1251,2629,2429,0.840881393,0.357179264,4623,878053,10/27/2023 0:24,23,Dubai,Scholarship opportunities expand access to higher education.,"#Learning, #Scholarships"
tweet_44,internet,7885,1524,447,0.239393417,0.22396645,7632,23474,10/13/2023 6:28,59,Berlin,Travel tips for budget-friendly adventures abroad.,"#Travel, #Explore, #Destinations"
tweet_45,movies,1303,2373,330,0.123052493,0.629665806,11882,40714,3/15/2023 2:33,98,Berlin,The future of online learning: trends to watch.,"#Education, #Scholarships"
tweet_46,sports,7714,1454,2439,0.972467437,0.702448209,9004,139610,11/20/2023 15:03,33,Tokyo,Top destinations for 2024: where will you go?,"#Travel, #Adventure, #Destinations"
tweet_47,economy,555,4964,316,0.73915353,0.247653592,10130,629833,6/28/2023 21:47,98,Berlin,The blockbuster movie breaks box office records!,"#BoxOffice, #SeriesFinale, #Celebrities"
tweet_48,jobs,1026,1899,2189,0.294989776,0.709814376,8181,716543,7/26/2023 1:20,64,San Francisco,The future of online learning: trends to watch.,"#Learning, #Education"
tweet_49,influencer,9164,2533,2054,0.177041056,0.926480829,11319,979022,4/24/2023 15:44,93,Berlin,Scholarship opportunities expand access to higher education.,"#Learning, #Education, #Research"
tweet_50,movies,6748,289,2428,0.040834711,0.886101812,7593,241233,11/10/2023 15:12,2,Berlin,Tips for maintaining mental health during stressful times.,#Wellness
tweet_51,economy,6333,4047,1815,0.675445632,0.399539903,6271,550355,5/7/2023 8:37,46,San Francisco,Tech conferences highlight innovations in AI and VR.,#AI
tweet_52,AI,1499,1373,1354,0.662203483,0.923194548,5234,566620,3/19/2023 11:06,54,Sydney,Celebrity news: an iconic actor returns to the big screen.,#BoxOffice
tweet_53,internet,5093,3334,1999,0.483894631,0.926640258,11295,168733,9/2/2023 19:58,51,Berlin,Airline industry announces new routes and services.,"#Adventure, #Destinations, #Travel"
tweet_54,jobs,6244,4040,429,0.210194867,0.500281431,9703,696085,5/30/2023 18:03,4,Dubai,Tips for maintaining mental health during stressful times.,#Research
tweet_55,politics,1041,3245,1277,0.762348034,0.468532132,8109,841755,9/27/2023 22:36,82,Mumbai,New breakthroughs in cancer research bring hope.,#Health
tweet_56,movies,3355,348,2271,0.434967477,0.872106536,2113,302984,1/13/2023 0:28,11,San Francisco,Airline industry announces new routes and services.,#Destinations
tweet_57,sports,6066,545,2972,0.121056696,0.37420752,12809,280333,10/17/2023 19:05,97,San Francisco,An incredible comeback by the home team last night!,"#Championship, #TeamSpirit, #Sports"
tweet_58,internet,6297,787,1110,0.594227342,0.882110484,6311,219262,2/22/2023 8:24,20,Tokyo,Government initiatives for renewable energy gain momentum.,"#Elections, #PolicyChange, #Debate"
tweet_59,sports,5721,420,570,0.990422408,0.219080678,9376,63097,7/28/2023 10:05,91,Tokyo,The new policy is sparking debates across the nation.,#Elections
tweet_60,politics,9239,3122,688,0.262134269,0.10799757,5997,572028,9/1/2023 1:23,32,Mumbai,Stock markets experience major fluctuations today.,"#Finance, #StockMarket, #Trade"
tweet_61,jobs,1128,3584,711,0.509106179,0.189719337,7081,721352,4/27/2023 14:10,15,Mumbai,Stock markets experience major fluctuations today.,#Trade
tweet_62,influencer,8128,3212,2439,0.094739822,0.791715748,7792,765008,9/8/2023 17:07,28,San Francisco,Celebrity news: an iconic actor returns to the big screen.,"#SeriesFinale, #Movies"
tweet_63,influencer,9795,4015,135,0.611948982,0.736130796,4555,717572,2/15/2023 17:43,5,Sydney,New breakthroughs in cancer research bring hope.,#MentalHealth
tweet_64,jobs,306,2184,422,0.096594981,0.162935598,7625,505999,10/22/2023 14:42,4,San Francisco,The future of online learning: trends to watch.,"#Learning, #Education"
tweet_65,internet,1451,1363,59,0.12790253,0.777950085,6474,800570,7/15/2023 6:26,2,Sydney,Tips for maintaining mental health during stressful times.,"#Wellness, #Health"
tweet_66,internet,3920,49,1205,0.636175864,0.857194572,13917,982005,2/13/2023 11:36,57,London,The future of online learning: trends to watch.,"#Scholarships, #Learning, #Research"
tweet_67,influencer,9130,4485,329,0.89597106,0.745640524,7019,936618,8/5/2023 7:37,79,San Francisco,The latest smartphone features are game-changing!,#Tech
tweet_68,politics,4646,1303,717,0.543590419,0.044550659,15296,891279,1/13/2023 16:52,52,New York,Health trends: the rise of plant-based diets.,"#Research, #MentalHealth, #Wellness"
tweet_69,movies,1576,4278,985,0.510922589,0.200643272,7224,890692,10/31/2023 5:05,63,San Francisco,Government initiatives for renewable energy gain momentum.,#Elections
tweet_70,jobs,4630,1897,1528,0.254957199,0.835786854,8848,651761,2/15/2023 4:18,71,Dubai,Global trade talks set to resume next month.,"#Economy, #StockMarket, #Trade"
tweet_71,politics,7362,4997,2698,0.93666438,0.33584994,6596,377304,2/2/2023 1:28,43,London,Election campaigns are heating up ahead of the big day.,"#PolicyChange, #Elections, #Debate"
tweet_72,politics,9329,1909,2736,0.098573157,0.779994906,7672,619938,10/19/2023 18:47,78,San Francisco,New research methods revolutionize academic studies.,"#Research, #Scholarships, #Learning"
tweet_73,influencer,218,3265,2244,0.420541381,0.454771359,5382,156929,3/11/2023 3:34,10,San Francisco,Airline industry announces new routes and services.,"#Destinations, #Travel"
tweet_74,politics,6228,461,152,0.133149742,0.681931029,10508,547408,2/28/2023 3:05,32,Sydney,Top destinations for 2024: where will you go?,"#Explore, #Adventure"
tweet_75,sports,6260,3807,2165,0.622216165,0.746128273,9735,999466,9/6/2023 17:20,42,Tokyo,Fans eagerly await the season finale of the hit series.,#SeriesFinale
tweet_76,AI,6637,580,1570,0.56786001,0.492645984,5559,963505,3/31/2023 7:40,29,Dubai,The blockbuster movie breaks box office records!,"#Celebrities, #BoxOffice, #Movies"
tweet_77,movies,4093,2781,1323,0.882152993,0.555563413,6132,154556,3/31/2023 6:27,44,Dubai,Top destinations for 2024: where will you go?,"#Explore, #Adventure"
tweet_78,big companies,3928,1802,2071,0.227029866,0.740097025,10430,21051,8/8/2023 10:24,77,Sydney,Global trade talks set to resume next month.,"#Trade, #StockMarket, #Economy"
tweet_79,internet,4983,3052,452,0.450188127,0.194656371,2285,472514,12/29/2023 6:41,5,Berlin,Stock markets experience major fluctuations today.,"#StockMarket, #Finance, #Trade"
tweet_80,big companies,4031,1541,2436,0.467297785,0.159312877,6309,296765,11/24/2023 22:38,4,New York,Election campaigns are heating up ahead of the big day.,#Debate
tweet_81,big companies,9977,662,1022,0.249536795,0.274953116,4624,990946,6/23/2023 5:31,86,New York,New breakthroughs in cancer research bring hope.,"#Wellness, #MentalHealth"
tweet_82,internet,8578,663,1314,0.149004341,0.557289567,10071,221453,11/14/2023 12:33,13,Dubai,The blockbuster movie breaks box office records!,"#SeriesFinale, #BoxOffice, #Movies"
tweet_83,internet,8863,3625,198,0.604906336,0.555765826,10071,659503,5/29/2023 16:57,8,London,Airline industry announces new routes and services.,#Adventure
tweet_84,politics,462,65,330,0.085220341,0.783391157,4725,363618,10/17/2023 15:48,69,Berlin,Stock markets experience major fluctuations today.,"#StockMarket, #Economy"
tweet_85,influencer,6981,109,196,0.040825662,0.683057172,4729,273283,8/11/2023 4:02,6,Dubai,The blockbuster movie breaks box office records!,#Movies
tweet_86,politics,8497,3750,2145,0.54055833,0.104651835,6950,846186,8/17/2023 22:26,77,Berlin,Government initiatives for renewable energy gain momentum.,"#PolicyChange, #Elections"
tweet_87,internet,9153,1159,1913,0.17630677,0.983326948,12497,156960,12/3/2023 22:32,4,London,Top destinations for 2024: where will you go?,"#Adventure, #Travel"
tweet_88,influencer,3482,2819,1407,0.49924544,0.891971464,10227,418501,3/2/2023 0:19,10,Mumbai,New breakthroughs in cancer research bring hope.,#Health
tweet_89,internet,1275,1172,2935,0.352623487,0.034690274,14889,862102,6/4/2023 3:10,88,London,Airline industry announces new routes and services.,"#Travel, #Explore"
tweet_90,influencer,2711,4530,1475,0.847991553,0.802468485,9729,663640,6/19/2023 22:42,62,New York,Unemployment rates show signs of recovery.,"#Finance, #StockMarket, #Trade"
tweet_91,shows,4620,747,2991,0.686725336,0.269413387,8063,325755,8/12/2023 18:36,42,Sydney,The new policy is sparking debates across the nation.,"#PolicyChange, #Debate, #Politics"
tweet_92,AI,5451,3670,1702,0.819920349,0.922730652,2338,578175,4/17/2023 20:41,23,San Francisco,Unemployment rates show signs of recovery.,"#Trade, #Economy"
tweet_93,movies,1770,1000,2367,0.267919881,0.691088756,5094,972156,7/2/2023 10:40,96,Tokyo,Travel tips for budget-friendly adventures abroad.,"#Explore, #Travel"
tweet_94,economy,1704,1636,1839,0.027510165,0.830843045,3112,169081,7/5/2023 18:11,100,San Francisco,The championship finals are set for this weekend.,#TeamSpirit
tweet_95,jobs,6971,4354,25,0.409835699,0.023695949,12232,918529,1/20/2023 10:12,32,Mumbai,Travel tips for budget-friendly adventures abroad.,#Adventure
tweet_96,jobs,3539,610,126,0.763788779,0.553088037,14330,18367,9/13/2023 14:34,2,San Francisco,Tips for maintaining mental health during stressful times.,"#MentalHealth, #Wellness, #Research"
tweet_97,movies,4622,3194,1105,0.891137056,0.697577196,9193,905561,8/19/2023 2:29,74,London,Airline industry announces new routes and services.,#Travel
tweet_98,movies,9670,4353,225,0.029230149,0.499300055,5134,362757,2/18/2023 19:36,98,Sydney,The blockbuster movie breaks box office records!,"#SeriesFinale, #Celebrities, #Movies"
tweet_99,shows,3116,1750,367,0.558302012,0.178383058,7287,206386,6/10/2023 9:46,27,Dubai,Stock markets experience major fluctuations today.,"#StockMarket, #Trade"
